feature,importance
Communication_Skills,0.12759876583611057
IQ,0.08269732919438856
CGPA,0.07499617203567603
Projects_Completed,0.07301473264319659
Prev_Sem_Result,0.038370386557020776
IQ_div_Prev_Sem_Result,0.017641686902629985
IQ_x_Prev_Sem_Result,0.016990823061170775
Prev_Sem_Result_x_CGPA,0.007433493560546481
avg_academic_score,0.006746771593458787
College_ID_div_IQ,0.0035617090692496986
College_ID_x_IQ,0.002706539873559647
Prev_Sem_Result_div_CGPA,0.0026835787272273246
academic_consistency,0.0016893517985054778
College_ID,0.0011776887728434345
Extra_Curricular_Score,0.0011000204224414609
